title,value
서머뷰티,100008810
비건,100000926
향수,100000923
핸드케어,100001000
베이스메이크업,100000917
뷰티소품,100000924
색조메이크업,100000918
마스크/팩,100000916
선케어,100000914
네일케어,100000919
남성화장품,100000925
플로럴,100008296
프루티,100008305
소프트플로럴,100008877
시트러스,100008299
머스크,100010235
우디,100008298
오리엔탈,100008303
우디오리엔탈,100008880
모시우디,100008881
드라이우디,100008882
아로마틱,100008301
워터,100008302
그린,100008300
크림,100000931
스킨/토너,100000928
에센스,100000930
로션,100000929
아이케어,100000932
멀티밤/스틱밤,100008746
톤업크림,100000936
페이스오일,100000934
미스트,100000933
넥케어,100000927
화장품세트,100000935
바디로션,100001008
바디클렌저,100000996
바디크림,100000992
여성청결제,100000998
바디슬리밍,100001006
입욕제,100001002
바디미스트,100000994
풋케어,100001001
아로마테라피,100001003
제모제,100001005
바디스크럽,100000997
바디오일,100000993
목욕비누,100000999
바디케어세트,100001007
데오드란트,100001004
샤워코롱,100001009
바디파우더,100000995
바디마사지,100001010
샴푸,100001011
트리트먼트,100001013
헤어에센스,100001014
탈모케어,100001018
두피케어,100001017
염색약,100001025
헤어스프레이,100001021
헤어왁스,100001020
파마약,100001026
린스,100001012
헤어팩,100001015
헤어미스트,100001016
헤어케어세트,100001019
헤어젤,100001023
헤어무스,100001022
헤어글레이즈,100001024
클렌징폼,100000943
스크럽/필링,100000953
클렌징비누,100000951
클렌징오일,100000944
클렌징워터,100000948
클렌징젤,100000947
클렌징로션,100000946
클렌징크림,100000945
클렌징밤,100000950
클렌징티슈,100000949
립앤아이리무버,100000952
클렌징세트,100000954
